trans_date_trans_time,cc_num,merchant,category,amt,gender,city,state,zip,lat,long,city_pop,job,dob,trans_num,is_fraud,density,trans_date,AM_PM,age,day_name,IIN
2019-01-02 01:06:37,4613314721966,fraud_Rutherford-Mertz,grocery_pos,281.06,M,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,1988-09-15,e8a81877ae9a0a7f883e15cb39dc4022,1,1513,2019-01-02,AM,30,Wednesday,461331
2019-01-02 01:47:29,340187018810220,"fraud_Jenkins, Hauck and Friesen",gas_transport,11.52,F,San Antonio,TX,78208,29.44,-98.459,1595797,Horticultural consultant,1960-10-28,bc7d41c41103877b03232f03f1f8d3f5,1,7,2019-01-02,AM,58,Wednesday,340187
2019-01-02 03:05:23,340187018810220,fraud_Goodwin-Nitzsche,grocery_pos,276.31,F,San Antonio,TX,78208,29.44,-98.459,1595797,Horticultural consultant,1960-10-28,b98f12f4168391b2203238813df5aa8c,1,7,2019-01-02,AM,58,Wednesday,340187
2019-01-02 03:38:03,4613314721966,fraud_Erdman-Kertzmann,gas_transport,7.03,M,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,1988-09-15,397894a5c4c02e3c61c784001f0f14e4,1,1513,2019-01-02,AM,30,Wednesday,461331
2019-01-02 03:55:47,340187018810220,fraud_Koepp-Parker,grocery_pos,275.73,F,San Antonio,TX,78208,29.44,-98.459,1595797,Horticultural consultant,1960-10-28,7863235a750d73a244c07f1fb7f0185a,1,7,2019-01-02,AM,58,Wednesday,340187
2019-01-02 13:38:08,4613314721966,fraud_Medhurst PLC,shopping_net,844.8,M,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,1988-09-15,248c2746e78f2ec713df51254ff1b302,1,1513,2019-01-02,PM,30,Wednesday,461331
2019-01-02 23:52:08,4613314721966,fraud_Ruecker Group,misc_net,843.91,M,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,1988-09-15,2f7d497f607396ab669c14c2abe3886f,1,1513,2019-01-02,PM,30,Wednesday,461331
2019-01-03 01:05:27,340187018810220,fraud_Conroy-Cruickshank,gas_transport,10.76,F,San Antonio,TX,78208,29.44,-98.459,1595797,Horticultural consultant,1960-10-28,0a2f8002e55a3565c5c88d8cf039fed8,1,7,2019-01-03,AM,58,Thursday,340187
2019-01-03 01:35:52,340187018810220,fraud_Koepp-Parker,grocery_pos,332.35,F,San Antonio,TX,78208,29.44,-98.459,1595797,Horticultural consultant,1960-10-28,97903213a2fd7e53bbaa60807144a505,1,7,2019-01-03,AM,58,Thursday,340187
2019-01-03 03:17:36,340187018810220,fraud_Strosin-Cruickshank,grocery_pos,315.34,F,San Antonio,TX,78208,29.44,-98.459,1595797,Horticultural consultant,1960-10-28,0ffc2b7dae4c33883f14ac60283d4027,1,7,2019-01-03,AM,58,Thursday,340187
2019-01-03 16:54:53,4922710831011201,fraud_Rau and Sons,grocery_pos,337.05,F,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,1941-03-07,7301679c460c5f2a464b0ecb5c610b47,1,1009,2019-01-03,PM,77,Thursday,492271
